application_date,company,job_title,platform,response_date,response_status
2026-04-28,ASAP Consulting,ML/AI Engineer and Data Scientist,Direct Email,,Received
2026-04-28,ASAP Consulting,ML/AI Engineer y Data Scientist,Direct Email,,Received
2026-03-25,Accenture,Academy Sr AI,Direct Email,2026/03/25,Received
2026-04-20,Accenture,Consultor/a en Ciencia de Decisiones de IA,Accenture,2026-04-23,Rejected
2026-04-20,Accenture,Data Scientist,Workday,,Rejected
2026-04-20,Accenture,Data Scientist - Decision Science Insights,Accenture,2026-04-23,Rejected
2026-03-11,Accenture,IA Engineering,Direct Email,,Received
2026-03-26,Accenture,Strategy & Consulting | Data & Applied Intelligence,Direct Email,2026/03/26,Received
2026-04-20,AceUp,AI/ML Engineer,Silver.dev,,No Response
2026-04-09,AceUp,Machine Learning Engineer (Generative AI & LLM Focus),Silver.dev,,Received
2026-04-21,Acsys,AI Solutions Architect,LinkedIn,,Received
2026-04-21,Acsys,N/A,LinkedIn,,No Response
2026-04-21,AlixPartners,Data Consultant,AlixPartners,2026-04-22,Rejected
2026-04-20,Anyone AI,AI/ML Engineer,LinkedIn,,No Response
2026-04-16,Anyone AI,Anyone AI Expert Network,Anyone AI,,Received
,Anyone AI,Full-Stack Developer - AI Trainer (Argentina),Other,2026/04/13,Rejected
2026-02-05,Anyone AI,Python Developer - AI Training,Direct Email,,Received
2026-04-29,BCG,Consultant Full-Time 2026,Direct Email,2026-04-29,Update Received
2026-03-30,BRG,Job Application,Direct Email,2026/03/30,Received
2026-04-26,BYMA,N/A,LinkedIn,,No Response
2026-04-08,BYMA Bolsas y Mercados Argentinos S.A.,Analista de Transformación Digital (desarrollo Python),LinkedIn,2026/04/11,Rejected
2026-02-10,BYMA Bolsas y Mercados Argentinos S.A.,Ingeniero de Datos,LinkedIn,,Received
2026-03-11,BYMA Bolsas y Mercados Argentinos S.A.,Ingeniero de datos (AWS),LinkedIn,,Received
2026-03-12,BairesDev,Video Presentation,Direct Email,,Received
2026-04-27,Banco Macro,Analista Motores de evaluación BI,LinkedIn,,Received
2026-04-27,Banco Macro,Data Scientist,LinkedIn,,No Response
2026-04-27,Banco Macro,N/A,LinkedIn,,No Response
2026-04-27,Beeflow,AI Ops & Business Analyst,Workable,,In Progress
2026-04-27,Beeflow,N/A,LinkedIn,,No Response
2026-03-17,Biwares,Data IA Engineer,LinkedIn,2026/03/17,Received
2026-03-25,Biwares,Data IA Engineer - Machine Learning,Direct Email,2026/03/25,Received
2026-03-17,Biwares,N/A,LinkedIn,,No Response
2026-01-25,Brainlabs,Junior Data Analyst,Direct Email,2026/01/25,Rejected
2026-04-29,Bumeran,AI Engineer - Ingeniero de Inteligencia Artificial,Bumeran,,Received
2026-03-18,Bumeran,Desarrollador Python,Bumeran,2026/03/18,Received
2026-04-29,Bumeran,Python Software Engineer,Bumeran,,No Response
2026-04-29,Bumeran,Python Software Engineer (GenAI) - Remoto - 1728,Bumeran,,Received
2026-03-26,CRAFTLabs,Python Developer,LinkedIn,2026/03/26,Received
2026-04-20,Canals,AI/ML Engineer,LinkedIn,,No Response
2026-01-22,Canals,Junior Software Engineer,Direct Email,2026/01/22,Received
2026-04-27,Carefull,Data Scientist / AI Engineer,Silver.dev,,Rejected
2026-03-16,Celeste Maggiore,Data Scientist / Machine Learning Jr,Direct Email,2026/03/16,Received
2026-02-26,Celeste Maggiore,Machine Learning/Artificial Intelligence Engineering,Direct Email,,Received
2026-04-20,Central Puerto,AI/ML Engineer,LinkedIn,,No Response
2026-02-27,Clarín,Desarrollador Python y datos,Hiring Room,,Received
2026-04-28,Close-Up International,AI & Data Lead,Direct Email,,Received
2026-04-20,Cocos,AI/ML Engineer,LinkedIn,,No Response
2026-04-23,Cocos,IA Transformation Expert,Cocos,,Received
2026-03-27,Criteria WM S.A.,Data Engineer,Hiring Room,2026/03/27,Rejected
2026-03-26,Criteria WM SA,Data Engineer,Hiring Room,2026/03/26,Received
2026-02-27,Crossing Hurdles,Data Annotator | Remote,LinkedIn,,Received
2026-02-10,Crossing Hurdles,Machine Learning Researcher | Remote,LinkedIn,,Received
2026-04-27,DIPREM Global,N/A,LinkedIn,,No Response
2026-04-27,DIPREM Global,Programador full stack,LinkedIn,,Received
2026-04-21,DXC,Python Developer,Direct Email,2026-04-29,Questionnaire
2026-04-21,Darwin AI,AI Operations Executive (Jr/Semi Sr),Workable,,Received
2026-04-21,Darwin AI,AI Prompting & Automation Executive (Jr/Semi Sr),Workable,,Received
2026-03-22,Derq,ML Quality Assurance Engineer,Workable,2026/03/22,Received
2026-04-20,Despegar,AI Tax Transformation Specialist,LinkedIn,,Received
2026-04-20,Despegar,N/A,LinkedIn,,No Response
2026-04-10,Despegar,Technician I,LinkedIn,,Received
2026-04-29,Dev.Pro,Vibe Coder,Workable,,Received
2026-04-29,Dev.Pro,Vibe Coder (AI-Assisted Software Engineer / Full-Stack) - OPS00069,Workable,,Interview
2026-04-20,DevRev,AI/ML Engineer,LinkedIn,,No Response
2026-03-30,DevRev,Product Education Specialist (DevRevU),Direct Email,2026/03/30,Rejected
2026-04-20,Dialpad,AI/ML Engineer,LinkedIn,,No Response
2026-03-26,Dialpad,Software Engineer (Agentic AI),Direct Email,2026/03/26,Received
2026-03-26,Dialpad,Software Engineer (Productivity),Direct Email,2026/03/26,Received
2026-03-22,Dymaxion Labs,Analista de Operaciones,LinkedIn,2026/03/22,Received
2026-03-22,Dymaxion Labs,N/A,LinkedIn,,No Response
2026-03-11,EY,EY - Junior de IT,Direct Email,,Received
2026-03-09,Empire DMC,AI Engineer,LinkedIn,,Received
2026-03-09,Empire DMC,N/A,LinkedIn,,No Response
2026-03-06,Empresa confidencial,Ingeniero de IA,Bumeran,,Received
2026-04-01,Experis,N/A,LinkedIn,,No Response
2026-04-01,Experis Argentina,Data scientist- Inglés avanzado,LinkedIn,,Received
2026-03-30,Famiq S.R.L.,Desarrollador de Python Semi Senior,LinkedIn,2026/03/30,Received
2026-03-19,GCG Control,Desarrollador de Python,LinkedIn,2026/03/19,Received
2026-03-19,GCG Control,N/A,LinkedIn,,No Response
2026-03-30,Global66,AI Specialist,Direct Email,2026/03/30,Received
2026-02-10,GlobalVision,Junior Data Engineer (Remote Argentina),LinkedIn,,Received
2026-03-09,GlobalVision,Junior Data Engineer (Remote Latin America),Workable,,Received
2026-03-11,Grupo Quinto Andar,Staff Data Science,Direct Email,,Received
2026-03-28,Grupo QuintoAndar,Staff Data Science,Direct Email,2026/03/28,Rejected
2026-04-16,HOLZBODEN,ANALISTA DE PROCESOS E INTELIGENCIA ARTIFICIAL JR.,Bumeran,,Received
2026-03-11,Horizon Consulting & Innovation,Desarrollador de Python,LinkedIn,,Received
2026-04-27,IBM,Delivery Consultant - Data & AI,IBM,2026-04-28,Technical Test
2026-04-27,IBM,Delivery Consultant - Data & AI - 100435,Direct Email,2026-04-28,Technical Test
2026-02-10,ICBC Argentina,Sumate al equipo de ICBC (Base de Talentos),LinkedIn,,Received
2026-04-07,INDI Staffing,N/A,LinkedIn,,No Response
2026-03-11,INDI Staffing Services,Python Developer,Direct Email,,Received
2026-04-07,INDI Staffing Services,Python Developer (Junior),LinkedIn,,Received
2026-03-11,INDI Staffing Services,Python Developer (Junior) - Remote,LinkedIn,,Received
2026-04-20,ITSM Consulting,AI/ML Engineer,LinkedIn,,No Response
2026-04-09,ITSM Consulting,Ingeniero de IA Generativa - AL2 Billetera Virtual,Hiring Room,,Received
2026-02-27,Illumia,AI Performance & Reporting Analyst,LinkedIn,,Received
2026-02-27,Illumia,Prompt Engineer,LinkedIn,,Received
2026-04-20,Innodata,N/A,LinkedIn,,No Response
2026-04-20,Innodata Inc.,Data Annotator,LinkedIn,,Received
2026-03-19,Instituto Tecnológico de Buenos Aires (ITBA),Docentes de Ciencias Ingeniería y Gestión,Hiring Room,2026/03/19,Received
2026-03-10,Intriq,Data Engineer (Python / AWS),LinkedIn,,Received
2026-03-10,Intriq,N/A,LinkedIn,,No Response
2026-04-21,JPMorgan,Data Analytics Associate,Oracle,,Update Received
2026-03-13,KPMG,Desarrollador/a IA | Tax | Argentina,LinkedIn,,Received
2026-04-10,KPMG,Desarrollador/a Jr RPA,LinkedIn,,Received
2026-04-10,KPMG,N/A,LinkedIn,,No Response
2026-02-26,KPMG Argentina,Data Analyst con conocimiento de soluciones IA | Advisory | AMBA,LinkedIn,,Received
2026-01-28,KPMG Argentina,Especialista en IA | Advisory | CABA,LinkedIn,2026/01/28,Received
2026-03-11,Kajae,AI-Enabled Automation & Systems Engineer,LinkedIn,2026-03-14,Rejected
2026-03-13,La Caja de Ahorro y Seguro,AI Engineer,Hiring Room,,Received
2026-04-08,Laboratorios Jayor,N/A,LinkedIn,,No Response
2026-04-08,Laboratorios Jayor Argentina,Especialista en Automatización y Eficiencia con IA (Junior),LinkedIn,,Received
2026-04-24,Mappa,AI Technical Specialist,Mappa,,Received
2026-04-25,Marval,N/A,LinkedIn,,No Response
2026-03-13,Marval O' Farrell Mairal,AI Engineer,Hiring Room,,Received
2026-04-20,Mercado Libre,AI/ML Engineer,LinkedIn,,No Response
2026-03-19,Mercado Libre,Expert en Ciencia de Datos - People,Direct Email,2026/03/19,Received
2026-03-09,Mercado Libre,Ingeniera/o de Data Science,Direct Email,,Received
2026-03-16,Mercado Libre,Machine Learning Engineer,Direct Email,2026/03/16,Received
2026-04-07,Mercor,Bilingual Spanish Generalist Evaluator Expert,Other,,Received
2026-04-07,Mercor,Bilingual Spanish STEM Expert,Other,,Received
2026-01-13,Monks,Junior Analytics Consultant,Direct Email,2026/01/13,Received
2026-04-20,Movimiento CREA,AI/ML Engineer,LinkedIn,,No Response
2026-04-14,Movimiento CREA,Programador Jr,Hiring Room,,Received
2026-04-16,Municipalidad de Vicente López,Desarrollador/a,Hiring Room,,Received
2026-03-02,NEC Argentina S.A.,Especialista Inteligencia Artificial,Direct Email,,Received
2026-03-18,NEOBIZ,Desarrollador/a IA,Bumeran,2026/03/18,Received
2026-03-04,NTT DATA Europe & Latam,Desarrollador Python Jr,LinkedIn,,Received
2026-03-18,Neo-Biz,Data Science (Python IA),Bumeran,2026/03/18,Received
2026-03-06,Nera,Data Scientist,LinkedIn,,Received
2026-04-20,Nosis,AI/ML Engineer,LinkedIn,,No Response
2026-03-19,Nosis,Data Scientist,Hiring Room,2026/03/19,Received
2026-04-10,NotCo AI,N/A,LinkedIn,,No Response
2026-04-10,NotCo AI,Software Engineer,LinkedIn,,Received
2026-04-22,Onward RH,Trainee en IA & Automatización,Direct Email,,Received
2026-03-19,OpenReplay,AI Engineer,LinkedIn,2026/03/19,Received
2026-03-19,OpenReplay,N/A,LinkedIn,,No Response
,PSI CRO,AI Business Analyst,LinkedIn,2026/04/10,Rejected
2026-03-28,PSI CRO,Associate Process Improvement (AI Applications),Direct Email,2026/03/28,Received
2026-04-21,PedidosYa,Learning Principal,LinkedIn,,Received
2026-04-21,PedidosYa,N/A,LinkedIn,,No Response
2026-04-20,Practia Global,AI Engineer,LinkedIn,2026-04-23,Rejected
2026-03-05,Practia Global,Automatizador Python,LinkedIn,2026-03-08,Rejected
2026-03-05,Practia Global,Tester experto en IA,LinkedIn,2026-03-08,Rejected
2026-03-19,PwC,Associate - Data Engineer,LinkedIn,2026/03/19,Rejected
2026-03-09,PwC,Data Management - Associate,Direct Email,2026-03-13,Rejected
2026-03-05,PwC,Junior - GenAI Engineer,Direct Email,,Received
2026-03-16,PwC,N/A,LinkedIn,,No Response
2026-01-13,PwC Argentina,Científico de datos,LinkedIn,2026/01/13,Received
2026-03-19,Pyramid Consulting,N/A,LinkedIn,,No Response
2026-03-19,Pyramid Consulting Inc,Artificial Intelligence Engineer,LinkedIn,2026/03/19,Received
2026-03-20,Qu Pos,Job Application,Direct Email,2026/03/20,Received
2026-04-13,Ramp,Early Career Software Engineer,Silver.dev,2026/04/14,Rejected
2026-04-20,Rappi,AI Engineer,Direct Email,,Technical Test
2026-03-17,Rappi,Position at Rappi,Direct Email,2026/03/17,Received
2026-03-13,SQUIRE,Machine Learning Engineer,LinkedIn,,Received
2026-03-13,SQUIRE,N/A,LinkedIn,,No Response
2026-03-12,Scale AI,Remote Coding Expertise for AI Training,Direct Email,,Interview
2026-04-10,Scalestack,AI Solutions Architect,LinkedIn,,Received
